1. n = 1; a = -120.0; b =15.0; x = 0; f(a) = -1.96912227771e+11; f(b) = 1003083534.0; f(x) = 1003083534.0; abs(a-b) = 135.0
2. n = 2; a = -52.5; b =15.0; x = -18.75; f(a) = -14986385012.2; f(b) = 1003083534.0; f(x) = -14986385012.2; abs(a-b) = 67.5
3. n = 3; a = -18.75; b =15.0; x = -1.875; f(a) = -487794087.562; f(b) = 1003083534.0; f(x) = -487794087.562; abs(a-b) = 33.75
4. n = 4; a = -18.75; b =-1.875; x = -1.875; f(a) = -487794087.562; f(b) = 103835120.484; f(x) = 103835120.484; abs(a-b) = 16.875
5. n = 5; a = -10.3125; b =-1.875; x = -6.09375; f(a) = -7960163.51953; f(b) = 103835120.484; f(x) = -7960163.51953; abs(a-b) = 8.4375
6. n = 6; a = -10.3125; b =-6.09375; x = -6.09375; f(a) = -7960163.51953; f(b) = 66133343.3994; f(x) = 66133343.3994; abs(a-b) = 4.21875
7. n = 7; a = -10.3125; b =-8.203125; x = -6.09375; f(a) = -7960163.51953; f(b) = 37111676.8052; f(x) = 37111676.8052; abs(a-b) = 2.109375
8. n = 8; a = -10.3125; b =-9.2578125; x = -6.09375; f(a) = -7960163.51953; f(b) = 17016543.4386; f(x) = 17016543.4386; abs(a-b) = 1.0546875
9. n = 9; a = -10.3125; b =-9.78515625; x = -6.09375; f(a) = -7960163.51953; f(b) = 5192701.04344; f(x) = 5192701.04344; abs(a-b) = 0.52734375
10. n = 10; a = -10.048828125; b =-9.78515625; x = -9.9169921875; f(a) = -1210814.16896; f(b) = 5192701.04344; f(x) = -1210814.16896; abs(a-b) = 0.263671875
11. n = 11; a = -10.048828125; b =-9.9169921875; x = -9.9169921875; f(a) = -1210814.16896; f(b) = 2033324.04225; f(x) = 2033324.04225; abs(a-b) = 0.1318359375
12. n = 12; a = -10.048828125; b =-9.98291015625; x = -9.9169921875; f(a) = -1210814.16896; f(b) = 421956.17068; f(x) = 421956.17068; abs(a-b) = 0.06591796875
13. n = 13; a = -10.0158691406; b =-9.98291015625; x = -9.99938964844; f(a) = -391740.430282; f(b) = 421956.17068; f(x) = -391740.430282; abs(a-b) = 0.032958984375
14. n = 14; a = -10.0158691406; b =-9.99938964844; x = -9.99938964844; f(a) = -391740.430282; f(b) = 15778.35487; f(x) = 15778.35487; abs(a-b) = 0.0164794921875
15. n = 15; a = -10.0076293945; b =-9.99938964844; x = -10.0035095215; f(a) = -187813.209345; f(b) = 15778.35487; f(x) = -187813.209345; abs(a-b) = 0.00823974609375
16. n = 16; a = -10.0035095215; b =-9.99938964844; x = -10.001449585; f(a) = -85975.4960466; f(b) = 15778.35487; f(x) = -85975.4960466; abs(a-b) = 0.00411987304688
17. n = 17; a = -10.001449585; b =-9.99938964844; x = -10.0004196167; f(a) = -35088.0910279; f(b) = 15778.35487; f(x) = -35088.0910279; abs(a-b) = 0.00205993652344
18. n = 18; a = -10.0004196167; b =-9.99938964844; x = -9.99990463257; f(a) = -9652.24859355; f(b) = 15778.35487; f(x) = -9652.24859355; abs(a-b) = 0.00102996826172
19. n = 19; a = -10.0004196167; b =-9.99990463257; x = -9.99990463257; f(a) = -9652.24859355; f(b) = 3063.70795901; f(x) = 3063.70795901; abs(a-b) = 0.000514984130859
20. n = 20; a = -10.0001621246; b =-9.99990463257; x = -10.0000333786; f(a) = -3294.10660574; f(b) = 3063.70795901; f(x) = -3294.10660574; abs(a-b) = 0.00025749206543
21. n = 21; a = -10.0000333786; b =-9.99990463257; x = -9.99996900558; f(a) = -115.158396289; f(b) = 3063.70795901; f(x) = -115.158396289; abs(a-b) = 0.000128746032715
22. n = 22; a = -10.0000333786; b =-9.99996900558; x = -9.99996900558; f(a) = -115.158396289; f(b) = 1474.28501303; f(x) = 1474.28501303; abs(a-b) = 6.43730163574e-05
23. n = 23; a = -10.0000333786; b =-10.0000011921; x = -9.99996900558; f(a) = -115.158396289; f(b) = 679.565866306; f(x) = 679.565866306; abs(a-b) = 3.21865081787e-05
24. n = 24; a = -10.0000333786; b =-10.0000172853; x = -9.99996900558; f(a) = -115.158396289; f(b) = 282.204374477; f(x) = 282.204374477; abs(a-b) = 1.60932540894e-05
